"	files/Miserables.txt : 6838; 
"*	files/NotreDame_De_Paris.txt : 19; 
"	files/NotreDame_De_Paris.txt : 3156; 
"16	files/Miserables.txt : 1; 
"440	files/Miserables.txt : 1; 
"50	files/Miserables.txt : 1; 
"A	files/Miserables.txt : 82; files/NotreDame_De_Paris.txt : 31; 
"Abandoned	files/Miserables.txt : 1; 
"Abbé	files/NotreDame_De_Paris.txt : 1; 
"Abominable	files/Miserables.txt : 1; 
"Abomination	files/NotreDame_De_Paris.txt : 1; 
"About	files/Miserables.txt : 3; 
"Above	files/Miserables.txt : 2; 
"According	files/Miserables.txt : 1; 
"Accordingly	files/NotreDame_De_Paris.txt : 1; 
"Accursed	files/NotreDame_De_Paris.txt : 3; 
"Actually	files/NotreDame_De_Paris.txt : 1; 
"Address	files/Miserables.txt : 1; 
"Adieu	files/Miserables.txt : 3; files/NotreDame_De_Paris.txt : 1; 
"Admirable	files/NotreDame_De_Paris.txt : 1; 
"Admit	files/Miserables.txt : 2; 
"Adorable	files/Miserables.txt : 1; 
"Advocate	files/NotreDame_De_Paris.txt : 1; 
"After	files/NotreDame_De_Paris.txt : 3; files/Miserables.txt : 12; 
"Again	files/Miserables.txt : 1; 
"Against	files/NotreDame_De_Paris.txt : 2; 
"Agreed	files/Miserables.txt : 4; 
"Ah	files/Miserables.txt : 130; files/NotreDame_De_Paris.txt : 39; 
"Aie	files/Miserables.txt : 1; 
"Aigle	files/Miserables.txt : 1; 
"Ainsi	files/Miserables.txt : 1; 
"Alarm	files/Miserables.txt : 1; 
"Alas	files/Miserables.txt : 7; files/NotreDame_De_Paris.txt : 21; 
"Alchemy	files/NotreDame_De_Paris.txt : 1; 
"All	files/NotreDame_De_Paris.txt : 4; files/Miserables.txt : 20; 
"Alone	files/Miserables.txt : 2; files/NotreDame_De_Paris.txt : 1; 
"Aloud	files/Miserables.txt : 1; 
"Already	files/NotreDame_De_Paris.txt : 2; 
"Although	files/NotreDame_De_Paris.txt : 1; 
"Always	files/Miserables.txt : 2; 
"Am	files/Miserables.txt : 2; files/NotreDame_De_Paris.txt : 1; 
"Amativeness	files/Miserables.txt : 1; 
"Amen	files/Miserables.txt : 4; files/NotreDame_De_Paris.txt : 2; 
"Among	files/NotreDame_De_Paris.txt : 1; 
"Amour	files/Miserables.txt : 2; 
"An	files/Miserables.txt : 7; files/NotreDame_De_Paris.txt : 3; 
"Anarchy	files/Miserables.txt : 1; 
"And	files/Miserables.txt : 118; files/NotreDame_De_Paris.txt : 77; 
"Andre	files/Miserables.txt : 1; 
"Angel	files/Miserables.txt : 1; 
"Announce	files/NotreDame_De_Paris.txt : 1; 
"Another	files/NotreDame_De_Paris.txt : 2; files/Miserables.txt : 1; 
"Answer	files/Miserables.txt : 2; 
"Anything	files/Miserables.txt : 4; files/NotreDame_De_Paris.txt : 1; 
"Apparently	files/Miserables.txt : 1; 
"Approach	files/NotreDame_De_Paris.txt : 3; 
"Approve	files/Miserables.txt : 1; 
"Apropos	files/Miserables.txt : 1; 
"Are	files/Miserables.txt : 32; files/NotreDame_De_Paris.txt : 12; 
"Arrested	files/Miserables.txt : 1; 
"Arricidie"	files/NotreDame_De_Paris.txt : 1; 
"As	files/NotreDame_De_Paris.txt : 6; files/Miserables.txt : 19; 
"Ask	files/Miserables.txt : 1; 
"Assault	files/NotreDame_De_Paris.txt : 1; 
"Assets	files/Miserables.txt : 1; 
"At	files/Miserables.txt : 25; files/NotreDame_De_Paris.txt : 11; 
"Aux	files/NotreDame_De_Paris.txt : 1; 
"Ave	files/Miserables.txt : 1; 
"Babet	files/Miserables.txt : 3; 
"Bad	files/Miserables.txt : 1; 
"Badajoz	files/Miserables.txt : 1; 
"Badly	files/Miserables.txt : 1; 
"Bah	files/Miserables.txt : 24; files/NotreDame_De_Paris.txt : 5; 
"Bahorel	files/Miserables.txt : 1; 
"Bailiff	files/NotreDame_De_Paris.txt : 2; 
"Bali	files/NotreDame_De_Paris.txt : 1; 
"Be	files/NotreDame_De_Paris.txt : 6; files/Miserables.txt : 19; 
"Beard	files/NotreDame_De_Paris.txt : 2; 
"Because	files/NotreDame_De_Paris.txt : 4; files/Miserables.txt : 18; 
"Become	files/NotreDame_De_Paris.txt : 1; 
"Before	files/Miserables.txt : 1; 
"Begin	files/NotreDame_De_Paris.txt : 4; 
"Beginning	files/Miserables.txt : 1; 
"Begone	files/NotreDame_De_Paris.txt : 8; 
"Behind	files/NotreDame_De_Paris.txt : 1; 
"Behold	files/NotreDame_De_Paris.txt : 2; files/Miserables.txt : 2; 
"Bellevigne	files/NotreDame_De_Paris.txt : 1; 
"Bellringer	files/NotreDame_De_Paris.txt : 3; 
"Belly	files/NotreDame_De_Paris.txt : 2; 
"Bequiabouit	files/Miserables.txt : 1; 
"Ber	files/Miserables.txt : 1; 
"Berthier	files/Miserables.txt : 1; 
"Besides	files/Miserables.txt : 3; 
"Better	files/Miserables.txt : 1; 
"Between	files/Miserables.txt : 1; 
"Beware	files/Miserables.txt : 2; 
"Bienvenu	files/Miserables.txt : 2; 
"Biscuit	files/Miserables.txt : 1; 
"Bishop	files/Miserables.txt : 1; 
"Bitch	files/Miserables.txt : 1; 
"Blachevelle	files/Miserables.txt : 1; 
"Black	files/NotreDame_De_Paris.txt : 1; 
"Blank	files/Miserables.txt : 1; 
"Bless	files/NotreDame_De_Paris.txt : 1; 
"Blessed	files/Miserables.txt : 1; 
"Blow	files/Miserables.txt : 2; 
"Blucher	files/Miserables.txt : 1; 
"Bohemian	files/NotreDame_De_Paris.txt : 2; 
"Bombarda	files/Miserables.txt : 1; 
"Bonaparte	files/Miserables.txt : 1; 
"Booby	files/Miserables.txt : 2; 
"Bosh	files/Miserables.txt : 2; 
"Bossuet	files/Miserables.txt : 2; 
"Bother	files/Miserables.txt : 1; 
"Bouddha	files/Miserables.txt : 1; 
"Bouh	files/Miserables.txt : 1; 
"Bourgeois	files/Miserables.txt : 1; files/NotreDame_De_Paris.txt : 1; 
"Boy	files/Miserables.txt : 1; 
"Boys	files/Miserables.txt : 1; 
"Brat	files/Miserables.txt : 1; 
"Bravely	files/NotreDame_De_Paris.txt : 1; 
"Bravo	files/Miserables.txt : 1; 
"Bread	files/Miserables.txt : 2; 
"Break	files/Miserables.txt : 2; 
"Breakfast	files/Miserables.txt : 1; 
"Brennus	files/Miserables.txt : 1; 
"Brevet	files/Miserables.txt : 2; 
"Brother	files/NotreDame_De_Paris.txt : 6; 
"Brrr	files/Miserables.txt : 1; 
"Bull	files/Miserables.txt : 1; 
"Buonaparte	files/Miserables.txt : 1; 
"Burst	files/Miserables.txt : 1; 
"Bury	files/NotreDame_De_Paris.txt : 1; 
"Business	files/Miserables.txt : 1; 
"Busy	files/NotreDame_De_Paris.txt : 1; 
"But	files/NotreDame_De_Paris.txt : 19; files/Miserables.txt : 81; 
"By	files/Miserables.txt : 23; files/NotreDame_De_Paris.txt : 24; 
"C	files/Miserables.txt : 1; 
"COSETTE"	files/Miserables.txt : 1; 
"Caesar	files/Miserables.txt : 1; 
"Cain	files/NotreDame_De_Paris.txt : 1; 
"Call	files/NotreDame_De_Paris.txt : 1; files/Miserables.txt : 5; 
"Calm	files/Miserables.txt : 3; 
"Can	files/Miserables.txt : 12; files/NotreDame_De_Paris.txt : 3; 
"Canaille	files/Miserables.txt : 1; 
"Candide"	files/NotreDame_De_Paris.txt : 1; 
"Cannons	files/Miserables.txt : 1; 
"Capital	files/Miserables.txt : 2; 
"Capitularies	files/NotreDame_De_Paris.txt : 1; 
"Capitulate	files/Miserables.txt : 1; 
"Captain	files/NotreDame_De_Paris.txt : 10; 
"Carry	files/Miserables.txt : 3; 
"Cartouche	files/Miserables.txt : 1; 
"Carvings	files/NotreDame_De_Paris.txt : 1; 
"Catalonia	files/NotreDame_De_Paris.txt : 1; 
"Catch	files/Miserables.txt : 1; 
"Caught	files/Miserables.txt : 1; 
"Certain	files/Miserables.txt : 1; 
"Certainly	files/Miserables.txt : 11; files/NotreDame_De_Paris.txt : 1; 
"Chambers	files/Miserables.txt : 1; 
"Charity	files/NotreDame_De_Paris.txt : 4; 
"Charles	files/NotreDame_De_Paris.txt : 1; 
"Charming	files/NotreDame_De_Paris.txt : 1; files/Miserables.txt : 1; 
"Chenildieu	files/Miserables.txt : 1; 
"Child	files/NotreDame_De_Paris.txt : 3; 
"Children	files/Miserables.txt : 2; 
"Chonodemaire	files/Miserables.txt : 1; 
"Choose	files/NotreDame_De_Paris.txt : 1; 
"Christ	files/NotreDame_De_Paris.txt : 1; 
"Christi	files/Miserables.txt : 1; 
"Churches	files/NotreDame_De_Paris.txt : 1; 
"Cid"	files/NotreDame_De_Paris.txt : 1; 
"Citizen	files/Miserables.txt : 4; 
"Citizens	files/Miserables.txt : 5; 
"Claquesous	files/Miserables.txt : 1; 
"Clear	files/Miserables.txt : 1; 
"Clerk	files/NotreDame_De_Paris.txt : 1; 
"Climb	files/NotreDame_De_Paris.txt : 2; files/Miserables.txt : 3; 
